Metadata_Plate,Platemap,Metadata_Well,Total_image_sets,Percent_Failed_Saturated_OrigActin,Percent_Failed_Saturated_OrigDNA,Percent_Failed_Saturated_OrigER,Percent_Failed_Saturated_OrigMito,Percent_Failed_Saturated_OrigPM,Percent_Failed_Blur_OrigActin,Percent_Failed_Blur_OrigDNA,Percent_Failed_Blur_OrigER,Percent_Failed_Blur_OrigMito,Percent_Failed_Blur_OrigPM,Percent_Failed_Any,Percent_Failed_Blur,Percent_Failed_Saturation
CARD-CelIns-CX7_251023210001,platemap_1,B02,25,0.0,8.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,12.0,8.0,8.0
CARD-CelIns-CX7_251023210001,platemap_1,B05,25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0
CARD-CelIns-CX7_251023210001,platemap_1,B08,25,0.0,0.0,0.0,0.0,4.0,0.0,12.0,8.0,0.0,0.0,12.0,12.0,4.0
CARD-CelIns-CX7_251023210001,platemap_1,B11,25,0.0,4.0,0.0,4.0,4.0,0.0,12.0,0.0,8.0,0.0,16.0,16.0,4.0
CARD-CelIns-CX7_251023210001,platemap_1,E02,25,0.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,4.0,0.0,28.000000000000004,28.000000000000004,4.0
CARD-CelIns-CX7_251023210001,platemap_1,E05,25,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0
CARD-CelIns-CX7_251023210001,platemap_1,E08,25,0.0,0.0,0.0,0.0,12.0,0.0,12.0,4.0,0.0,0.0,20.0,12.0,12.0
CARD-CelIns-CX7_251023210001,platemap_1,E11,25,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0
CARD-CelIns-CX7_251124150001,platemap_1,B02,25,0.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,0.0,0.0,32.0,32.0,0.0
CARD-CelIns-CX7_251124150001,platemap_1,B05,25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,12.0,12.0,0.0
CARD-CelIns-CX7_251124150001,platemap_1,B08,25,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,16.0,16.0,0.0
CARD-CelIns-CX7_251124150001,platemap_1,B11,25,0.0,4.0,0.0,0.0,4.0,0.0,24.0,20.0,4.0,0.0,36.0,32.0,8.0
CARD-CelIns-CX7_251124150001,platemap_1,E02,25,0.0,4.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,20.0,16.0,4.0
CARD-CelIns-CX7_251124150001,platemap_1,E05,25,0.0,0.0,0.0,12.0,0.0,0.0,8.0,4.0,0.0,0.0,20.0,8.0,12.0
CARD-CelIns-CX7_251124150001,platemap_1,E08,25,0.0,4.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,8.0,8.0,4.0
CARD-CelIns-CX7_251124150001,platemap_1,E11,25,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,12.0,8.0
CARD-CelIns-CX7_251125110001,platemap_1,B02,25,0.0,4.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,12.0,12.0,4.0
CARD-CelIns-CX7_251125110001,platemap_1,B05,25,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,12.0,12.0,0.0
CARD-CelIns-CX7_251125110001,platemap_1,B08,25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,16.0,16.0,0.0
CARD-CelIns-CX7_251125110001,platemap_1,B11,25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,16.0,16.0,0.0
CARD-CelIns-CX7_251125110001,platemap_1,E02,25,0.0,4.0,4.0,4.0,0.0,0.0,4.0,24.0,20.0,0.0,40.0,32.0,12.0
CARD-CelIns-CX7_251125110001,platemap_1,E05,25,0.0,4.0,0.0,4.0,4.0,0.0,16.0,8.0,0.0,0.0,20.0,16.0,8.0
CARD-CelIns-CX7_251125110001,platemap_1,E08,25,0.0,12.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,20.0,12.0,12.0
CARD-CelIns-CX7_251125110001,platemap_1,E11,25,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0
CARD-CelIns-CX7_251126130001,platemap_1,B02,25,0.0,12.0,0.0,8.0,0.0,0.0,16.0,4.0,0.0,0.0,28.000000000000004,16.0,20.0
CARD-CelIns-CX7_251126130001,platemap_1,B05,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,8.0,0.0
CARD-CelIns-CX7_251126130001,platemap_1,B08,25,0.0,4.0,0.0,0.0,0.0,0.0,20.0,12.0,4.0,0.0,28.000000000000004,28.000000000000004,4.0
CARD-CelIns-CX7_251126130001,platemap_1,B11,25,0.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,16.0,12.0,4.0
CARD-CelIns-CX7_251126130001,platemap_1,E02,25,4.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,4.0,12.0
CARD-CelIns-CX7_251126130001,platemap_1,E05,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARD-CelIns-CX7_251126130001,platemap_1,E08,25,4.0,4.0,0.0,12.0,0.0,0.0,8.0,4.0,0.0,0.0,20.0,8.0,16.0
CARD-CelIns-CX7_251126130001,platemap_1,E11,25,0.0,4.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,8.0,8.0
CARD-CelIns-CX7_251130110002,platemap_2,B02,25,0.0,0.0,0.0,12.0,0.0,0.0,24.0,16.0,8.0,0.0,40.0,28.000000000000004,12.0
CARD-CelIns-CX7_251130110002,platemap_2,B05,25,0.0,0.0,0.0,0.0,4.0,8.0,36.0,40.0,12.0,0.0,44.0,44.0,4.0
CARD-CelIns-CX7_251130110002,platemap_2,B08,25,0.0,0.0,0.0,4.0,0.0,4.0,48.0,36.0,4.0,0.0,52.0,52.0,4.0
CARD-CelIns-CX7_251130110002,platemap_2,B11,25,0.0,12.0,0.0,0.0,0.0,12.0,48.0,36.0,16.0,0.0,56.00000000000001,56.00000000000001,12.0
